timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721836556753,4,get user list,200,OK,Thread Group test de charge 1-568,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836556762,4,get user list,200,OK,Thread Group test de charge 1-569,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556773,4,get user list,200,OK,Thread Group test de charge 1-570,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836556783,3,get user list,200,OK,Thread Group test de charge 1-571,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,0
1721836556792,3,get user list,200,OK,Thread Group test de charge 1-572,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,1
1721836556803,4,get user list,200,OK,Thread Group test de charge 1-573,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556814,4,get user list,200,OK,Thread Group test de charge 1-574,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556824,4,get user list,200,OK,Thread Group test de charge 1-575,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556833,4,get user list,200,OK,Thread Group test de charge 1-576,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836556842,4,get user list,200,OK,Thread Group test de charge 1-577,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556852,4,get user list,200,OK,Thread Group test de charge 1-578,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556862,4,get user list,200,OK,Thread Group test de charge 1-579,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556872,5,get user list,200,OK,Thread Group test de charge 1-580,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556883,4,get user list,200,OK,Thread Group test de charge 1-581,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556892,4,get user list,200,OK,Thread Group test de charge 1-582,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556906,4,get user list,200,OK,Thread Group test de charge 1-583,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556915,4,get user list,200,OK,Thread Group test de charge 1-584,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556924,4,get user list,200,OK,Thread Group test de charge 1-585,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556934,4,get user list,200,OK,Thread Group test de charge 1-586,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556946,4,get user list,200,OK,Thread Group test de charge 1-587,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836556954,4,get user list,200,OK,Thread Group test de charge 1-588,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556965,4,get user list,200,OK,Thread Group test de charge 1-589,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556975,4,get user list,200,OK,Thread Group test de charge 1-590,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556985,4,get user list,200,OK,Thread Group test de charge 1-591,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556996,5,get user list,200,OK,Thread Group test de charge 1-592,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557005,4,get user list,200,OK,Thread Group test de charge 1-593,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557015,4,get user list,200,OK,Thread Group test de charge 1-594,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557024,5,get user list,200,OK,Thread Group test de charge 1-595,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557032,4,get user list,200,OK,Thread Group test de charge 1-596,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557045,4,get user list,200,OK,Thread Group test de charge 1-597,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557054,4,get user list,200,OK,Thread Group test de charge 1-598,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557063,4,get user list,200,OK,Thread Group test de charge 1-599,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557074,4,get user list,200,OK,Thread Group test de charge 1-600,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557082,4,get user list,200,OK,Thread Group test de charge 1-601,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557093,5,get user list,200,OK,Thread Group test de charge 1-602,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557105,4,get user list,200,OK,Thread Group test de charge 1-603,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,2
1721836557126,4,get user list,200,OK,Thread Group test de charge 1-605,text,true,,614,125,2,2,http://localhost:5555/api/users,4,0,1
1721836557113,4,get user list,200,OK,Thread Group test de charge 1-604,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557133,3,get user list,200,OK,Thread Group test de charge 1-606,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,1
1721836557143,3,get user list,200,OK,Thread Group test de charge 1-607,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,0
1721836557154,4,get user list,200,OK,Thread Group test de charge 1-608,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557163,3,get user list,200,OK,Thread Group test de charge 1-609,text,true,,614,125,2,2,http://localhost:5555/api/users,3,0,1
1721836557174,4,get user list,200,OK,Thread Group test de charge 1-610,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557182,3,get user list,200,OK,Thread Group test de charge 1-611,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,0
1721836557194,3,get user list,200,OK,Thread Group test de charge 1-612,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,0
1721836557204,4,get user list,200,OK,Thread Group test de charge 1-613,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557213,4,get user list,200,OK,Thread Group test de charge 1-614,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557222,4,get user list,200,OK,Thread Group test de charge 1-615,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557232,4,get user list,200,OK,Thread Group test de charge 1-616,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557242,4,get user list,200,OK,Thread Group test de charge 1-617,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557252,6,get user list,200,OK,Thread Group test de charge 1-618,text,true,,614,125,1,1,http://localhost:5555/api/users,6,0,2
1721836557262,4,get user list,200,OK,Thread Group test de charge 1-619,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557275,4,get user list,200,OK,Thread Group test de charge 1-620,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836557285,3,get user list,200,OK,Thread Group test de charge 1-621,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,0
1721836557295,5,get user list,200,OK,Thread Group test de charge 1-622,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557305,4,get user list,200,OK,Thread Group test de charge 1-623,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836557315,3,get user list,200,OK,Thread Group test de charge 1-624,text,true,,614,125,1,1,http://localhost:5555/api/users,3,0,1
1721836557324,4,get user list,200,OK,Thread Group test de charge 1-625,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557334,5,get user list,200,OK,Thread Group test de charge 1-626,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557344,4,get user list,200,OK,Thread Group test de charge 1-627,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557354,4,get user list,200,OK,Thread Group test de charge 1-628,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557366,4,get user list,200,OK,Thread Group test de charge 1-629,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557374,4,get user list,200,OK,Thread Group test de charge 1-630,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557386,4,get user list,200,OK,Thread Group test de charge 1-631,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557396,4,get user list,200,OK,Thread Group test de charge 1-632,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557405,5,get user list,200,OK,Thread Group test de charge 1-633,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,2
1721836557415,4,get user list,200,OK,Thread Group test de charge 1-634,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557425,5,get user list,200,OK,Thread Group test de charge 1-635,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557436,4,get user list,200,OK,Thread Group test de charge 1-636,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557446,4,get user list,200,OK,Thread Group test de charge 1-637,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836557454,4,get user list,200,OK,Thread Group test de charge 1-638,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557464,4,get user list,200,OK,Thread Group test de charge 1-639,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836557474,32,get user list,200,OK,Thread Group test de charge 1-640,text,true,,614,125,4,4,http://localhost:5555/api/users,32,0,1
1721836557501,6,get user list,200,OK,Thread Group test de charge 1-642,text,true,,614,125,3,3,http://localhost:5555/api/users,6,0,1
1721836557501,8,get user list,200,OK,Thread Group test de charge 1-641,text,true,,614,125,2,2,http://localhost:5555/api/users,8,0,1
1721836557503,7,get user list,200,OK,Thread Group test de charge 1-643,text,true,,614,125,1,1,http://localhost:5555/api/users,7,0,1
1721836557512,4,get user list,200,OK,Thread Group test de charge 1-644,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557525,4,get user list,200,OK,Thread Group test de charge 1-645,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557533,4,get user list,200,OK,Thread Group test de charge 1-646,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557542,4,get user list,200,OK,Thread Group test de charge 1-647,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557553,4,get user list,200,OK,Thread Group test de charge 1-648,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,0
1721836557563,4,get user list,200,OK,Thread Group test de charge 1-649,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557573,5,get user list,200,OK,Thread Group test de charge 1-650,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557583,5,get user list,200,OK,Thread Group test de charge 1-651,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557594,5,get user list,200,OK,Thread Group test de charge 1-652,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,2
1721836557604,5,get user list,200,OK,Thread Group test de charge 1-653,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557633,5,get user list,200,OK,Thread Group test de charge 1-656,text,true,,614,125,3,3,http://localhost:5555/api/users,5,0,1
1721836557623,4,get user list,200,OK,Thread Group test de charge 1-655,text,true,,614,125,2,2,http://localhost:5555/api/users,4,0,1
1721836557614,4,get user list,200,OK,Thread Group test de charge 1-654,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557643,4,get user list,200,OK,Thread Group test de charge 1-657,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836557653,5,get user list,200,OK,Thread Group test de charge 1-658,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,2
1721836557662,4,get user list,200,OK,Thread Group test de charge 1-659,text,true,,614,125,2,2,http://localhost:5555/api/users,4,0,1
1721836557673,5,get user list,200,OK,Thread Group test de charge 1-660,text,true,,614,125,3,3,http://localhost:5555/api/users,5,0,2
1721836557684,5,get user list,200,OK,Thread Group test de charge 1-661,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836557693,4,get user list,200,OK,Thread Group test de charge 1-662,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
